source_deposit,LABEL,LONGITUDE,LATITUDE,SOURCE,PROVINCEID,OCCURRENCE_NAME,CLASS,STATE,COMMODITY_NAMES
,0,134.32465253622846,-27.29406261980364,blank_area,GA.GeologicProvince.22115,,,,
Endeavour E-28,1,148.0505042205308,-32.9379025653711,positive,,,,,
,0,119.0271,-22.97570000000001,other_deposit,,MAC - Deposit R,mineral deposit,WA,"Alumina, Unspecified/Unknown, Phosphorus, Iron"
,0,121.4642315754086,-23.649191855963053,blank_area,GA.GeologicProvince.464562,,,,
,0,142.4699,-35.168600000000005,other_deposit,,Rownack,mineral deposit,VIC,"Ilmenite, Rutile, Zircon"
Homer,1,147.35584301623788,-34.2229943330268,positive,,,,,
,0,141.90907926827526,-30.619460496454845,blank_area,GA.GeologicProvince.529302,,,,
,0,135.81718615726342,-30.57428780329452,blank_area,GA.GeologicProvince.529302,,,,
Mag H1,1,147.44210496914008,-34.29905749919684,positive,,,,,
Chicane,1,147.40269512504736,-34.26391892130057,positive,,,,,
,0,142.50064994715942,-29.4748326135615,blank_area,GA.GeologicProvince.20489,,,,
,0,146.00519692853183,-23.086724487682837,blank_area,GA.GeologicProvince.550790,,,,
Sunday Creek,1,148.47159011180727,-37.51563968653692,positive,,,,,
,0,143.8214468975512,-23.879490669642824,blank_area,GA.GeologicProvince.20489,,,,
,0,152.5487,-27.441400000000066,other_deposit,,CLOAKE'S,OPERATING MINE,QLD,Unspecified/Unknown
Thursdays Gossan-Junction Reef (Victor 1 and Victor 2),1,142.61237874487475,-37.60779641519592,positive,,,,,
,0,133.207041125929,-15.186589557827457,blank_area,GA.GeologicProvince.557149,,,,
,0,127.50594461427625,-26.836545181668832,blank_area,GA.GeologicProvince.466901,,,,
,0,134.96800972713413,-18.57930831610854,blank_area,GA.GeologicProvince.468269,,,,
,0,136.4888,-33.1892,other_deposit,,FIMERI,MINE,SA,"Unspecified/Unknown, Mica"
,0,116.6644,-22.18770000000005,other_deposit,,Old BHP Deposit 8,Deposit - Unspecified,WA,Iron
,0,140.3994975287581,-26.678545980175727,blank_area,GA.GeologicProvince.20489,,,,
Yeoval,1,148.6796465047502,-32.69601507930327,positive,,,,,
,0,125.28852315555568,-19.593920953190263,blank_area,GA.GeologicProvince.576194,,,,
,0,138.7676,-31.41920000000001,other_deposit,,HALLS,MINE,SA,Barite
,0,140.21859709268358,-20.97917546685396,blank_area,GA.GeologicProvince.559199,,,,
,0,135.4191,-33.17229999999995,other_deposit,,KAPPACOOLA SWAMP,DEPOSIT,SA,Gypsum
,0,132.07964701229326,-22.80265983593204,blank_area,GA.GeologicProvince.576184,,,,
,0,115.6525,-34.39600000000002,other_deposit,,Jangardup South,mineral deposit,WA,"Unspecified/Unknown, Heavy minerals, Ilmenite, Zircon, Leucoxene, Rutile"
,0,118.5796,-34.53770000000002,other_deposit,,Southdown East,mineral deposit,WA,"Iron, Magnetite"
,0,131.84941770173828,-23.33544338613575,blank_area,GA.GeologicProvince.467256,,,,
Kitticoola,1,139.14961898637347,-34.86965302264221,positive,,,,,
,0,140.1389,-34.75629999999998,other_deposit,,MINDARIE C,DEPOSIT,SA,Heavy minerals
,0,138.4143,-32.272199999999984,other_deposit,,PROUTS,MINE,SA,"Manganese, Cobalt"
,0,137.6598,-29.894100000000027,other_deposit,,SCREECHOWL CREEK,DEPOSIT,SA,"Magnesite, Magnesia (magnesium oxide)"
,0,116.9053,-29.137199999999957,other_deposit,,Mungada Gully,mineral deposit,WA,"Unspecified/Unknown, Phosphorus, Sulphur, Alumina, Iron"
Ridgeway,1,148.9798733282776,-33.44403302806853,positive,,,,,
,0,127.8483258843933,-25.360023663368302,blank_area,GA.GeologicProvince.467262,,,,
,0,138.6482,-32.47329999999996,other_deposit,,OLADDIE,MINE,SA,Barite
,0,115.701,-33.13750000000001,other_deposit,,Crawlea Farm,mineral deposit,WA,"Unspecified/Unknown, Limestone"
Veedas,1,147.99677996769856,-32.91239228996937,positive,,,,,
Mount Turner,1,143.41970332489393,-18.260409272575487,positive,,,,,
,0,145.64556638446717,-23.409462706611773,blank_area,GA.GeologicProvince.529302,,,,
,0,134.8613,-33.40549999999999,other_deposit,,LAKE NEWLAND,MINE,SA,Salt
,0,116.3857,-24.711200000000005,other_deposit,,Injinu Hills Rose Quartz,mineral deposit,WA,Quartz - rose
Halls Creek (Bommie deposit),1,127.48572766428164,-18.42866326398404,positive,,,,,
,0,130.6213296071442,-25.385601542475765,blank_area,GA.GeologicProvince.466901,,,,
,0,136.29713132825557,-19.89008204233436,blank_area,GA.GeologicProvince.468269,,,,
Hopetoun,1,148.0585360026212,-32.99782195101757,positive,,,,,
,0,125.4979595327012,-20.054292752511014,blank_area,GA.GeologicProvince.468269,,,,
