source_deposit,LABEL,LONGITUDE,LATITUDE,PROVINCEID
,0,145.2776953495292,-34.10713448518631,GA.GeologicProvince.559207
,0,125.71410812474026,-23.94392938120792,GA.GeologicProvince.468269
Waitara,1,148.82172730896266,-21.846854451995817,
,0,134.8512725669613,-19.14514363422185,GA.GeologicProvince.529556
,0,142.58796849310153,-28.984737668338983,GA.GeologicProvince.529302
,0,136.81413890492215,-18.725115521820197,GA.GeologicProvince.551269
,0,135.36688875662327,-20.151999883579208,GA.GeologicProvince.468269
,0,134.88680553950752,-26.30791557204168,GA.GeologicProvince.20489
,0,149.58313894805755,-28.03247968192808,GA.GeologicProvince.530059
Boddington,1,116.3675765717626,-32.74688367161753,
,0,140.05413571613943,-27.582467962864364,GA.GeologicProvince.529302
,0,141.20771420343465,-33.28626791493543,GA.GeologicProvince.530359
Bowen Park,1,148.83120849832602,-33.32067421283653,
,0,129.61932284254507,-25.70269631194357,GA.GeologicProvince.466901
,0,143.85916961754577,-23.205932448196133,GA.GeologicProvince.529302
,0,128.49810774514796,-30.706901326940876,GA.GeologicProvince.22115
,0,137.80403371876454,-20.34548103212229,GA.GeologicProvince.529556
,0,124.2223940017236,-25.56620489276895,GA.GeologicProvince.22115
,0,137.75375359606417,-19.375951362698757,GA.GeologicProvince.468269
,0,134.08928116014116,-16.311558548475805,GA.GeologicProvince.468269
,0,127.2686013723422,-25.334231103242107,GA.GeologicProvince.466901
,0,145.24426235278932,-26.610763315858044,GA.GeologicProvince.529302
,0,140.7330313134301,-25.388877902704248,GA.GeologicProvince.20489
,0,135.93782493415216,-18.852235406568838,GA.GeologicProvince.551269
,0,145.23491031651926,-31.447395161408515,GA.GeologicProvince.530359
,0,145.27334553852342,-21.70301410566901,GA.GeologicProvince.550790
,0,136.96836361597144,-26.430678536339045,GA.GeologicProvince.529549
,0,134.54418834070793,-18.171948903511883,GA.GeologicProvince.529556
Netley Hill,1,140.04635499482572,-32.80377688325261,
Hopetoun,1,148.01170832487367,-32.97641651471512,
,0,142.92417090667007,-25.76102288692676,GA.GeologicProvince.529302
,0,126.5900546583479,-26.757783598934136,GA.GeologicProvince.468269
,0,146.00519692853183,-23.086724487682837,GA.GeologicProvince.550790
,0,145.50433877155027,-20.06806913481297,GA.GeologicProvince.20489
,0,135.49881718574645,-17.22082897137375,GA.GeologicProvince.529556
,0,125.76898971826536,-22.847816202369124,GA.GeologicProvince.466901
,0,142.95528289207095,-20.933364413277733,GA.GeologicProvince.550790
Copper Hills,1,119.95890892766847,-21.65859882185345,
Copper Hill,1,148.86863875266585,-33.052165885485046,
,0,130.54551254974226,-20.09801416445297,GA.GeologicProvince.468269
,0,124.44944388326788,-25.295272158170413,GA.GeologicProvince.22115
Kiwi Carpet,1,150.89713796298875,-24.667312602339848,
,0,145.10913156495872,-25.13726485529688,GA.GeologicProvince.20489
,0,116.9700014121031,-24.130090557717967,GA.GeologicProvince.464560
,0,134.29823561217012,-25.936594245941954,GA.GeologicProvince.467262
,0,135.9049646290015,-18.39300004409709,GA.GeologicProvince.468269
Copperhead (Julivon Creek),1,148.29433258624582,-20.5738507697234,
,0,136.20602808873608,-24.53642946702411,GA.GeologicProvince.529551
,0,122.0970519693568,-19.09716312011649,GA.GeologicProvince.468269
,0,137.39358188927991,-24.95736499165107,GA.GeologicProvince.512258
,0,125.8027133411548,-23.052810240931564,GA.GeologicProvince.468269
,0,130.73928658650829,-18.55516356743238,GA.GeologicProvince.467226
,0,137.53719513486556,-21.74830117823766,GA.GeologicProvince.468041
,0,141.44152237946562,-27.958026623102302,GA.GeologicProvince.529511
Frogmore,1,148.85485742033876,-34.27184208812088,
,0,132.47850304443529,-28.976238357976584,GA.GeologicProvince.22115
,0,123.3465502099087,-19.44291261792816,GA.GeologicProvince.468269
Dogwood,1,148.00934626501925,-37.55606805179228,
,0,128.7502837776531,-27.547956792104102,GA.GeologicProvince.22115
Dogwood,1,147.97302249207206,-37.62357793686485,
Gooleys,1,149.04168535401678,-33.53231486683812,
,0,138.05094318931697,-19.60748520847776,GA.GeologicProvince.529556
,0,136.94664679789716,-25.133245653357733,GA.GeologicProvince.529302
,0,122.79796089784374,-20.388190975875887,GA.GeologicProvince.468269
,0,139.95439603736426,-27.23635530523745,GA.GeologicProvince.529302
,0,135.0697821870624,-25.67934451026941,GA.GeologicProvince.467262
,0,129.19243642852592,-17.333272859501996,GA.GeologicProvince.467204
,0,126.7343715513259,-26.78125095471137,GA.GeologicProvince.468269
,0,135.83011107022878,-26.841798644612275,GA.GeologicProvince.529302
,0,128.70624602955144,-23.68571834658507,GA.GeologicProvince.467256
,0,149.17408053740024,-28.44892112021877,GA.GeologicProvince.27354
Peak Hill,1,148.20120821662346,-32.72806876861372,
,0,123.47113551684784,-24.42764303823045,GA.GeologicProvince.22115
,0,139.84726387937684,-30.765328142630437,GA.GeologicProvince.529788
Mount Vista,1,147.88125195462686,-20.553942111335218,
Calliope,1,151.27993018301655,-24.089465457638,
Allendale,1,148.18888995632582,-32.55788514925311,
,0,125.63876182543898,-27.225973661873915,GA.GeologicProvince.464632
,0,133.03021229000083,-18.330881691139307,GA.GeologicProvince.468269
,0,130.99910826960024,-19.14532960871923,GA.GeologicProvince.467226
,0,129.1699415726812,-23.861858624246302,GA.GeologicProvince.467256
,0,139.95268498755183,-25.968988831231645,GA.GeologicProvince.20489
Homer,1,147.3348530418897,-34.18649462166645,
Carangera,1,149.2443961150119,-33.35397225733592,
,0,134.5602759266238,-26.804558246237075,GA.GeologicProvince.20489
Homer,1,147.35020407913393,-34.24011999951804,
Bank,1,146.7381250773628,-20.13818016502595,
,0,132.09895726757557,-22.103923577461867,GA.GeologicProvince.467256
,0,132.4520541054397,-18.493289677676334,GA.GeologicProvince.468265
,0,128.15132710972765,-26.255238596293587,GA.GeologicProvince.466901
,0,130.44871566308743,-29.074297587608072,GA.GeologicProvince.22115
Cargo,1,148.80568576004785,-33.4441722149432,
,0,138.57455813273864,-22.44262015097057,GA.GeologicProvince.364771
,0,131.8377941650138,-19.024426718076537,GA.GeologicProvince.468269
Northparkes district (includes Endeavour -22 -26 -27 and -48),1,148.04823992418835,-32.91451045835464,
,0,129.87819904904234,-16.155990087753914,GA.GeologicProvince.569185
,0,146.64179342666603,-26.193074284656586,GA.GeologicProvince.529302
,0,128.34239202903757,-23.08057462754021,GA.GeologicProvince.364772
,0,137.8717996393037,-19.59516813223144,GA.GeologicProvince.551269
Mount Darcy,1,143.23275264946153,-18.270516574901844,
,0,124.9053995531074,-23.20874705974027,GA.GeologicProvince.468269
,0,137.4389399042294,-19.88379598103749,GA.GeologicProvince.551269
,0,143.02577444717116,-25.193991981409383,GA.GeologicProvince.529511
,0,139.1262542143031,-22.82412911069655,GA.GeologicProvince.529556
,0,146.09583989791062,-32.97353141962927,GA.GeologicProvince.559178
,0,148.2780269399152,-24.85359941365869,GA.GeologicProvince.449962
Mount Turner,1,143.42182078727825,-18.260456701880987,
Briggs,1,150.7638383039308,-23.99414034479676,
,0,143.27363618698496,-24.532483995398028,GA.GeologicProvince.529801
,0,123.62889449028972,-28.6295044032116,GA.GeologicProvince.464632
,0,138.7923275280292,-25.74856511901483,GA.GeologicProvince.529302
,0,135.34665849010284,-24.326136468898984,GA.GeologicProvince.466901
,0,136.15203378883004,-27.36441987395012,GA.GeologicProvince.529549
,0,131.80022239291836,-19.749031487473427,GA.GeologicProvince.22109
,0,142.31662338195562,-28.207701711917423,GA.GeologicProvince.529302
,0,144.0199288261127,-20.065687547107785,GA.GeologicProvince.20437
,0,125.2819090608367,-28.342079849135523,GA.GeologicProvince.22115
Limonite Hill,1,150.63462571018624,-23.67017719867332,
,0,137.32966348641932,-21.131280846207023,GA.GeologicProvince.468269
Western Tharsis,1,145.57595598822272,-41.99044347943926,
,0,130.83796973646466,-24.319609077940125,GA.GeologicProvince.467256
,0,124.79552191496138,-20.65910041773328,GA.GeologicProvince.468269
,0,136.29186336567307,-26.406070403676978,GA.GeologicProvince.20489
Kelly,1,119.87428964225914,-21.79467455776665,
,0,139.8282358354704,-23.59001297534317,GA.GeologicProvince.559196
,0,142.79250365985624,-27.86676701335866,GA.GeologicProvince.529551
Tartana project,1,144.27713333271058,-16.95489091653733,
,0,145.91284909154422,-33.164832343913794,GA.GeologicProvince.559178
,0,122.85057309612024,-24.61602198721655,GA.GeologicProvince.466893
,0,141.75028145776153,-27.89298212417777,GA.GeologicProvince.529511
Marsden,1,147.50261801199392,-33.75051005816599,
,0,141.32405314066818,-25.36131022543312,GA.GeologicProvince.20489
,0,123.98896231961176,-26.53967953661793,GA.GeologicProvince.576257
,0,128.6002926723303,-27.33626652980161,GA.GeologicProvince.22115
Dimbulah,1,145.09755274962055,-17.260217089651043,
,0,133.50841051081073,-22.58151235399476,GA.GeologicProvince.364771
,0,131.19585985201002,-16.298253380158368,GA.GeologicProvince.467208
,0,137.8366468236062,-27.7791436049844,GA.GeologicProvince.529302
,0,136.41752233294304,-21.826658761183797,GA.GeologicProvince.529556
,0,131.8893132316705,-20.062510043101632,GA.GeologicProvince.468041
Barrabas Creek,1,146.77939504412498,-20.11560251656321,
,0,137.82283390865516,-21.449142220922106,GA.GeologicProvince.529556
,0,130.91190529143316,-19.69092452363383,GA.GeologicProvince.468269
,0,137.11020744985677,-26.070942599807317,GA.GeologicProvince.529551
,0,142.3827526583124,-29.33844416452016,GA.GeologicProvince.529801
Marsden,1,147.53191270699168,-33.736869443977206,
,0,131.1851123695443,-15.37552476969068,GA.GeologicProvince.468269
,0,133.82027505670914,-26.139777591394303,GA.GeologicProvince.467262
,0,132.50610481430292,-22.554355934214023,GA.GeologicProvince.576273
Mount Darcy,1,143.24975574397277,-18.243867443462705,
Chicane,1,147.3710027836005,-34.26128091602609,
Dairy Hill,1,148.86966543231316,-33.26153128307574,
,0,129.46213528041645,-15.273422987112996,GA.GeologicProvince.468269
Struck Oil,1,150.47474905203484,-23.639893256021544,
,0,124.72024001936084,-23.2740565346954,GA.GeologicProvince.466901
,0,123.24859669828896,-22.58007782266215,GA.GeologicProvince.576229
,0,147.2491927309973,-26.55453420722171,GA.GeologicProvince.20489
,0,145.43219896007497,-29.604342716233628,GA.GeologicProvince.20489
Dogwood,1,148.01390405331307,-37.5967706035762,
,0,146.94068529487473,-23.28904829459396,GA.GeologicProvince.20489
Titov,1,146.70933011604757,-19.9722612087161,
,0,125.43194013938638,-26.53925225025654,GA.GeologicProvince.466901
Kangaroo Hill,1,147.38633866417726,-34.08591904616376,
,0,137.41695531928417,-20.607915626007397,GA.GeologicProvince.551269
Veedas,1,147.98214604881775,-32.88688518980407,
,0,126.73583261357646,-16.77733394424652,GA.GeologicProvince.468269
Mount Angelo,1,127.51397693343964,-18.413156388268888,
Riverhead,1,150.76049982776246,-24.03780117391296,
,0,140.75668818653762,-30.19386333548485,GA.GeologicProvince.20331
,0,137.752747607999,-22.8708339350317,GA.GeologicProvince.467256
,0,134.4803442702065,-17.561993794445577,GA.GeologicProvince.529556
Sunday Creek,1,148.48938165923403,-37.51679485309357,
Carangera,1,149.2274913081061,-33.32267043235944,
,0,146.21430663276286,-21.90344137025429,GA.GeologicProvince.20489
,0,130.87361331525622,-20.853332247520274,GA.GeologicProvince.576288
,0,144.47049488307908,-32.079499057701234,GA.GeologicProvince.530359
,0,125.93248690529208,-19.90826512192401,GA.GeologicProvince.468269
Mount Abbot,1,147.98357212863155,-20.19381332680679,
,0,139.36066066766136,-21.569397622541317,GA.GeologicProvince.559196
,0,139.04090007053935,-29.002767766333037,GA.GeologicProvince.20489
,0,137.57832160224848,-18.63147374112516,GA.GeologicProvince.468269
,0,132.88392796986247,-16.78357996936953,GA.GeologicProvince.22109
,0,135.3705219214106,-26.08113393727096,GA.GeologicProvince.466901
,0,135.85221306877185,-30.54328210056109,GA.GeologicProvince.513114
,0,138.7653805882522,-24.583628556312835,GA.GeologicProvince.467256
,0,147.18759204382772,-32.52566575100622,GA.GeologicProvince.559178
,0,129.9708032344556,-19.405910392932263,GA.GeologicProvince.467208
,0,131.6610876802896,-15.293568108781212,GA.GeologicProvince.468269
Bodangora,1,148.9607496663008,-32.46941495250684,
Anabama Hill,1,140.18437492262987,-32.710200136264824,
Struck Oil,1,150.486694476349,-23.62705139037817,
,0,132.0846863211166,-19.29461437631536,GA.GeologicProvince.468269
,0,124.1285506238179,-24.792348158245456,GA.GeologicProvince.466191
,0,131.1155659907485,-27.003100758233263,GA.GeologicProvince.467262
,0,136.56384264496003,-29.15271623233032,GA.GeologicProvince.529302
,0,146.66900978171554,-24.126296193788047,GA.GeologicProvince.20489
,0,145.47941275465217,-22.11294787594174,GA.GeologicProvince.550790
,0,142.22735664999388,-25.55346675955488,GA.GeologicProvince.20489
,0,142.27536132991972,-24.4074646677623,GA.GeologicProvince.20489
,0,124.50409330398872,-21.55959449379352,GA.GeologicProvince.468269
Mt. Leslie,1,140.1683629049633,-20.34139685998348,
Copper Hill,1,148.87585163113076,-33.053074715623175,
,0,142.3323610814765,-28.100696146566737,GA.GeologicProvince.20489
,0,139.46889553134622,-26.951720657339678,GA.GeologicProvince.529302
,0,137.05680385846676,-25.647084762062946,GA.GeologicProvince.529549
