source_deposit,LABEL,LONGITUDE,LATITUDE,SOURCE,PROVINCEID,OCCURRENCE_NAME,CLASS,STATE,COMMODITY_NAMES
,0,128.3357,-16.699199999999994,other_deposit,,Matsu,mineral deposit,WA,Iron
,0,141.15043192343987,-19.404265028236026,blank_area,GA.GeologicProvince.559204,,,,
,0,150.0686,-26.447299999999963,other_deposit,,GURULMUNDI,OPERATING MINE,QLD,Bentonite
,0,141.4777143576838,-24.02084901659082,blank_area,GA.GeologicProvince.467256,,,,
,0,123.3463287683109,-24.28636439353503,blank_area,GA.GeologicProvince.466901,,,,
,0,140.61634157585553,-21.139516442793543,blank_area,GA.GeologicProvince.559191,,,,
,0,134.1044159721735,-24.57502901463941,blank_area,GA.GeologicProvince.466901,,,,
Mount Turner,1,143.41970332489393,-18.260409272575487,positive,,,,,
,0,129.53879633272874,-15.11759246364501,blank_area,GA.GeologicProvince.429252,,,,
,0,115.6525,-34.39600000000002,other_deposit,,Jangardup South,mineral deposit,WA,"Unspecified/Unknown, Heavy minerals, Ilmenite, Zircon, Leucoxene, Rutile"
,0,145.98397011565754,-25.83602073498829,blank_area,GA.GeologicProvince.529302,,,,
Rosevale,1,147.41465461237806,-34.33037382025648,positive,,,,,
,0,140.74412838753386,-26.91473665029299,blank_area,GA.GeologicProvince.529511,,,,
,0,118.9116,-30.54019999999996,other_deposit,,Mayfield M1,mineral deposit,WA,"Alumina, Unspecified/Unknown, Phosphorus, Sulphur, Iron, Magnetite"
,0,141.8246,-37.05169999999997,other_deposit,,Douglas - Bondi East,mineral deposit,VIC,"Ilmenite, Leucoxene, Rutile, Zircon"
,0,131.47849396579144,-27.137955984656667,blank_area,GA.GeologicProvince.467262,,,,
,0,131.77284916794014,-20.902122250301524,blank_area,GA.GeologicProvince.364771,,,,
,0,136.58005731417674,-19.187534234710284,blank_area,GA.GeologicProvince.468269,,,,
,0,130.89173639452142,-18.674245648280127,blank_area,GA.GeologicProvince.467226,,,,
,0,145.9759914561912,-25.438631912384743,blank_area,GA.GeologicProvince.550790,,,,
,0,120.0135,-20.399700000000024,other_deposit,,Nimingarra B,mineral deposit,WA,"Alumina, Phosphorus, Unspecified/Unknown, Iron"
,0,140.66898762720913,-23.621924201718024,blank_area,GA.GeologicProvince.529302,,,,
,0,126.14697511457364,-20.818494562727956,blank_area,GA.GeologicProvince.468269,,,,
,0,115.0445,-33.65570000000003,other_deposit,,Telfer East HMS,mineral deposit,WA,"Heavy minerals, Ilmenite, Zircon"
,0,149.2238,-21.10149999999999,other_deposit,,MACKAY HARBOUR,OPERATING MINE,QLD,Sand - undifferentiated
,0,121.1006,-21.120899999999992,other_deposit,,Federal South - Braeside (45),mineral deposit,WA,Lead
,0,117.7032,-26.93339999999995,other_deposit,,Weld Range / Zadow (20),mineral deposit,WA,Ochre
,0,145.2676352834858,-26.31669220677753,blank_area,GA.GeologicProvince.22077,,,,
,0,124.14991432698736,-22.90731468701477,blank_area,GA.GeologicProvince.576229,,,,
,0,122.4945,-28.61999999999998,other_deposit,,WABMINES PJB0516,mineral deposit,WA,Nickel
,0,139.34204564842025,-23.28847126266251,blank_area,GA.GeologicProvince.364771,,,,
