OCCURRENCE_NAME,CLASS,STATE,COMMODITY_NAMES,LONGITUDE,LATITUDE,LABEL
Lake MacLeod West / Forrester,mineral deposit,WA,Gypsum,113.5031,-24.276699999999995,0
Lake MacLeod Group,mineral deposit,WA,Salt,113.55160000000001,-24.446500000000004,0
Lake MacLeod Gypsum,mineral deposit,WA,Gypsum,113.5627,-24.234399999999972,0
False Entrance,Deposit - Unspecified,WA,Gypsum,113.34350000000002,-26.374399999999987,0
Useless Inlet Borrow Pit iJ,mineral deposit,WA,Sand - undifferentiated,113.3641,-26.334999999999983,0
Useless Inlet Borrow Pit iA,mineral deposit,WA,Limestone,113.3702,-26.210300000000007,0
Useless Loop Salt Concentrator Ponds,mineral deposit,WA,Salt,113.4025,-26.157700000000006,0
Learmonth / Learmonth Limestone,mineral deposit,WA,Limestone,114.0291,-22.240800000000018,0
Bibby Giddy,mineral deposit,WA,Gypsum,113.43280000000001,-26.308400000000045,0
Useless Loop U2,mineral deposit,WA,Gypsum,113.4167,-26.20119999999998,0
Useless Loop Borrow Pit H,mineral deposit,WA,"Limestone, Sand - undifferentiated",113.4121,-26.13830000000002,0
Gascoyne River Sand M09/48,mineral deposit,WA,"Sand - undifferentiated, Gravel",113.7197,-24.853999999999974,0
Scrubby Hill / Vandeleur,Mine - Openpit,WA,"Limestone, Aggregate - undifferentiated, Sand - undifferentiated",113.7329,-24.773599999999952,0
Lake MacLeod East,mineral deposit,WA,Gypsum,113.7618,-24.36759999999998,0
Lake MacLeod North Block 1,mineral deposit,WA,Gypsum,113.919,-23.496999999999982,0
Learmonth / Hanson,mineral deposit,WA,"Limestone, Aggregate - undifferentiated, Sand - undifferentiated",114.0521,-22.25379999999997,0
Cape Range Limestone / BHP,mineral deposit,WA,Limestone,114.0605,-22.12029999999998,0
Exmouth sand-gravel / Lovell,mineral deposit,WA,"Sand - undifferentiated, Gravel",114.1202,-22.013399999999955,0
Exmouth Sand Environmental Group,mineral deposit,WA,Sand - undifferentiated,114.12200000000001,-21.87160000000006,0
Exmouth Shire Sand and Rock,mineral deposit,WA,"Sand - undifferentiated, Limestone, Aggregate - undifferentiated",114.1258,-21.864099999999954,0
Brown Inlet East,mineral deposit,WA,Gypsum,113.5134,-26.525799999999958,0
Denham / Camastra,mineral deposit,WA,Gravel,113.6221,-26.082599999999996,0
