DEPOSIT,LATITUDE,LONGITUDE,CMMI_DEPOSIT_ENVIRONMENT,ASSIGNED_AGE_MA,ORE_TONNAGE_MT,CU_PERCENT,MO_PERCENT,AU_GT,AG_GT
Allendale,-32.54985,148.17342,Magmatic hydrothermal,436.5, , , , , 
Anabama Hill,-32.7189,140.2055,Magmatic hydrothermal,502,4,0.6, , , 
Bank,-20.13699,146.75008,Magmatic hydrothermal,395, , , , , 
Barrabas Creek,-20.10957,146.78779,Magmatic hydrothermal,395, , , , , 
Beaks Mountain,-19.98549,147.62138,Magmatic hydrothermal,265, , , , , 
Ben Mohr,-21.2656,148.8679,Magmatic hydrothermal,122.75,20,0.3, , , 
Bodangora,-32.45225,148.99388,Magmatic hydrothermal,436.5, , , , , 
Boddington,-32.73333,116.3667,Magmatic hydrothermal,2707,870.7,0.103, ,0.628, 
Bowen Park,-33.33535,148.84531,Magmatic hydrothermal,436.5, , , , , 
Brazen,-32.93042,148.05468,Magmatic hydrothermal,439.2, , , , , 
Briggs,-23.9901,150.72452,Magmatic hydrothermal, ,982.3,0.19,0.0034, , 
Cadia East-Cadia Far East,-33.46,149.01,Magmatic hydrothermal,441.8,2861.5,0.26, ,0.402,0.573
Cadia Hill-Cadia Quarry,-33.46,149.0,Magmatic hydrothermal,450.7,299,0.162, ,0.425,0.573
Calgoa,-25.86836,152.22869,Magmatic hydrothermal,242.5, , , , , 
Calliope,-24.05443,151.25447,Magmatic hydrothermal,220, , , , , 
Carangera,-33.35331,149.24953,Magmatic hydrothermal,436.5, , , , , 
Caravel (Bindi and Dasher),-30.96603,116.61413,Magmatic hydrothermal,2700,1180,0.24,0.0048, , 
Cargo,-33.4287,148.8012,Magmatic hydrothermal,447.5,27,0.2, , , 
Central Cowal,-33.64,147.46,Magmatic hydrothermal,451.4, , , , , 
Chicane,-34.2268,147.39855,Magmatic hydrothermal,436.4, , , , , 
Chinaman Creek,-25.2303,151.617,Magmatic hydrothermal,242.5,200,0.2, ,0.33, 
Coalstoun,-25.6168,151.83,Magmatic hydrothermal,231.5,26.86,0.38, , , 
Copper Hill,-33.0529,148.8687,Magmatic hydrothermal,449.1,86,0.364, ,0.322, 
Copper Hills,-21.6575,119.95778,Magmatic hydrothermal,3425, , , , , 
Copperhead (Julivon Creek),-20.53922,148.29926,Magmatic hydrothermal,132,35,0.16,0.01, , 
Coppin Gap (Spinifex Ridge),-20.88889,120.10833,Magmatic hydrothermal,3291,1051.289,0.075,0.0422, ,1.213
Cullingarai,-34.21125,147.39406,Magmatic hydrothermal,436.4,8.7, , , , 
Dairy Hill,-33.23448,148.85945,Magmatic hydrothermal,436.5, , , , , 
Dimbulah,-17.2483,145.0806,Magmatic hydrothermal,285,20,0.25, , , 
Dogwood,-37.58761,148.00351,Magmatic hydrothermal,406.25, , , , , 
Endeavour 39 (E39),-33.688,147.404,Magmatic hydrothermal,439.6, , , , , 
Endeavour 43 (E43),-33.748,147.48,Magmatic hydrothermal,463.5, , , , , 
Endeavour E-28,-32.933,148.048,Magmatic hydrothermal,439.2,8.1,0.35, ,0.04, 
Endeavour E-31N,-32.928,148.063,Magmatic hydrothermal,439.2,6.6,0.35, ,0.39, 
Endeavour E-37,-32.929,147.993,Magmatic hydrothermal,439.2,6.8,0.66, ,0.02, 
Estoril,-34.2449,147.4136,Magmatic hydrothermal,436.4,11,0.22,0.001,0.37, 
Eurowie,-33.84116,147.42523,Magmatic hydrothermal,436.5, , , , , 
Ferndale,-33.4823,149.11456,Magmatic hydrothermal,436.5, , , , , 
